epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,1254.6,2.46384,2.23617,0.00117,0.89099,0.84911,0.86623,0.45191,2.35474,2.13535,0.00179,0.0009161,0.0009161,0.0009161
93,1266.61,2.50413,2.23903,0.00115,0.89287,0.86357,0.87222,0.44835,2.38833,2.07977,0.00182,0.000907848,0.000907848,0.000907848
94,1278.46,2.45574,2.18503,0.00117,0.89262,0.86397,0.86737,0.45023,2.36884,2.10761,0.00179,0.000899597,0.000899597,0.000899597
95,1290.02,2.4402,2.2266,0.00119,0.8361,0.83355,0.85289,0.44184,2.40151,2.07456,0.00182,0.000891345,0.000891345,0.000891345
96,1302.29,2.49664,2.22309,0.00114,0.86694,0.83127,0.83903,0.441,2.38021,2.09237,0.00181,0.000883093,0.000883093,0.000883093
97,1314.11,2.47267,2.2158,0.00116,0.91775,0.82505,0.8605,0.44772,2.35283,2.09338,0.00179,0.000874842,0.000874842,0.000874842
98,1327.89,2.48278,2.16261,0.00115,0.86744,0.86901,0.86059,0.45564,2.36477,2.05817,0.00179,0.00086659,0.00086659,0.00086659
99,1340.74,2.44616,2.19555,0.00115,0.87006,0.8175,0.84723,0.44707,2.44072,2.094,0.00187,0.000858338,0.000858338,0.000858338
100,1354.64,2.48157,2.15608,0.00117,0.8653,0.83787,0.85554,0.46092,2.3591,2.16132,0.00178,0.000850087,0.000850087,0.000850087
101,1366.51,2.45146,2.17878,0.00116,0.86257,0.84163,0.85037,0.45665,2.39476,1.99209,0.00182,0.000841835,0.000841835,0.000841835
102,1378.51,2.46218,2.15982,0.00118,0.86561,0.8663,0.84932,0.46498,2.35675,2.02097,0.00179,0.000833583,0.000833583,0.000833583
103,1391.01,2.4559,2.1792,0.00119,0.8916,0.84224,0.87223,0.46003,2.35877,2.06703,0.00179,0.000825332,0.000825332,0.000825332
104,1402.79,2.47719,2.17356,0.00112,0.86675,0.84597,0.84951,0.44092,2.42884,2.04189,0.00187,0.00081708,0.00081708,0.00081708
105,1414.62,2.44569,2.13314,0.00115,0.89365,0.8554,0.85067,0.45119,2.38026,2.02586,0.0018,0.000808828,0.000808828,0.000808828
106,1426.81,2.44957,2.20459,0.00114,0.87671,0.85273,0.86408,0.45094,2.36935,2.08625,0.00181,0.000800577,0.000800577,0.000800577
107,1438.85,2.43619,2.18783,0.00116,0.89633,0.82284,0.86043,0.44755,2.38272,2.12086,0.0018,0.000792325,0.000792325,0.000792325
108,1450.51,2.42703,2.13221,0.00115,0.86939,0.85209,0.85775,0.46251,2.35076,2.03968,0.00178,0.000784073,0.000784073,0.000784073
